Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 
TIME       : 
FILENAME   : 
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-EU174  219.
  Instrument number       =UTC-6
                          =0
  Location                =EXAMPLE_1
  Sample period           =H01
  Sample method           =T
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


[Series settings]
  Serial number           =..00-EU174  219.
  Instrument number       =UTC-6
  Location                =NO_35_VEI_EU174
  Sample period           =00 01:00:00 0
  Sample method           =T
  Start date / time       =16:13:11 1-03-24
  End date / time         =16:13:10 30-06-24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


Date/time;Pressure[cmH2O];Temperature[�C]
2024/03/12 21:13:16;1174,200;20,443
2024/03/12 22:13:16;1173,617;20,433
2024/03/12 23:13:16;1172,625;20,443
2024/03/13 00:13:16;1171,750;20,443
2024/03/13 01:13:16;1170,992;20,450
2024/03/13 02:13:16;1170,117;20,450
2024/03/13 03:13:16;1169,650;20,443
2024/03/13 04:13:16;1168,658;20,450
2024/03/13 05:13:16;1168,367;20,457
2024/03/13 06:13:16;1168,950;20,433
2024/03/13 07:13:16;1168,075;20,450
2024/03/13 08:13:16;1167,492;20,450
2024/03/13 09:13:16;1168,192;20,450
2024/03/13 10:13:16;1168,658;20,450
2024/03/13 11:13:16;1167,900;20,443
2024/03/13 12:13:16;1166,325;20,457
2024/03/13 13:13:16;1165,567;20,443
2024/03/13 14:13:16;1164,108;20,443
2024/03/13 15:13:16;1162,942;20,443
2024/03/13 16:13:16;1162,767;20,443
2024/03/13 17:13:16;1162,475;20,457
2024/03/13 18:13:16;1162,067;20,443
2024/03/13 19:13:16;1162,358;20,443
2024/03/13 20:13:16;1162,067;20,450
2024/03/13 21:13:16;1161,600;20,450
2024/03/13 22:13:16;1161,308;20,443
2024/03/13 23:13:16;1161,192;20,457
2024/03/14 00:13:16;1160,433;20,450
2024/03/14 01:13:16;1159,267;20,443
2024/03/14 02:13:16;1158,275;20,457
2024/03/14 03:13:16;1158,275;20,443
2024/03/14 04:13:16;1157,983;20,467
2024/03/14 05:13:16;1158,275;20,450
2024/03/14 06:13:16;1158,275;20,467
2024/03/14 07:13:16;1158,683;20,450
2024/03/14 08:13:16;1158,392;20,450
2024/03/14 09:13:16;1158,858;20,450
2024/03/14 10:13:16;1158,858;20,457
2024/03/14 11:13:16;1158,392;20,457
2024/03/14 12:13:16;1157,692;20,450
2024/03/14 13:13:16;1156,350;20,443
2024/03/14 14:13:16;1155,767;20,457
2024/03/14 15:13:16;1155,883;20,443
2024/03/14 16:13:16;1155,300;20,467
2024/03/14 17:13:16;1154,892;20,443
2024/03/14 18:13:16;1154,717;20,450
2024/03/14 19:13:16;1155,008;20,443
2024/03/14 20:13:16;1154,717;20,457
2024/03/14 21:13:16;1154,425;20,457
2024/03/14 22:13:16;1154,425;20,467
2024/03/14 23:13:16;1153,258;20,450
2024/03/15 00:13:16;1152,558;20,467
2024/03/15 01:13:16;1151,683;20,457
2024/03/15 02:13:16;1151,100;20,457
2024/03/15 03:13:16;1151,100;20,467
2024/03/15 04:13:16;1150,342;20,450
2024/03/15 05:13:16;1150,517;20,457
2024/03/15 06:13:16;1152,092;20,457
2024/03/15 07:13:16;1152,850;20,450
2024/03/15 08:13:16;1152,675;20,467
2024/03/15 09:13:16;1152,675;20,457
2024/03/15 10:13:16;1152,558;20,450
2024/03/15 11:13:16;1150,633;20,473
2024/03/15 12:13:16;1150,050;20,457
2024/03/15 13:13:16;1149,467;20,457
2024/03/15 14:13:16;1149,175;20,457
2024/03/15 15:13:16;1150,633;20,467
2024/03/15 16:13:16;1148,125;20,467
2024/03/15 17:13:16;1147,717;20,457
2024/03/15 18:13:16;1148,708;20,457
2024/03/15 19:13:16;1148,008;20,457
2024/03/15 20:13:16;1148,592;20,467
2024/03/15 21:13:16;1149,175;20,457
2024/03/15 22:13:16;1152,092;20,443
2024/03/15 23:13:16;1150,225;20,450
2024/03/16 00:13:16;1147,425;20,457
2024/03/16 01:13:16;1146,667;20,467
2024/03/16 02:13:16;1145,383;20,467
2024/03/16 03:13:16;1145,675;20,457
2024/03/16 04:13:16;1144,917;20,467
